Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	latitude	longitude
GQ443248.1	Rift Valley fever virus	GenBank						25-JUL-2016	1464-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	28-Mar-2008			Rift Valley fever virus strain 1464-08 segment M glycoprotein G2 gene, partial cds	2008-03-28		1464-08	rvf		
MW316060.1	Rift Valley fever virus	GenBank						07-JUN-2021	RV2655	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	498	partial		unknown					alpacas		2018			Rift Valley fever virus isolate RV2655 glycoprotein G2 gene, partial cds	2018		RV2655	rvf		
EU574082.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000225	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000225 segment S, complete sequence	2007-01-16		2007000225	rvf		
JF311389.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803165	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		Mar-2008			Rift Valley fever virus strain 200803165 segment S, complete sequence	2008		200803165	rvf		
OR844388.1	Rift Valley fever virus	GenBank						26-JUN-2024	2687/3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M						placenta				Rift Valley fever virus isolate 2687/3 segment M, complete sequence			2687/3	rvf		
PP747235.1	Rift Valley fever virus	GenBank						15-JAN-2025	AM-M1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		16-Jan-2021			Rift Valley fever virus strain AM-M1 glycoprotein gene, partial cds	2021-01-16		AM-M1	rvf		
KY366330.1	Rift Valley fever virus	GenBank						29-JUN-2017	272660	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6176	partial		L					Homo sapiens	serum	2015			Rift Valley fever virus isolate 272660 polymerase gene, partial cds	2015		272660	rvf		
AF393744.1	Rift Valley fever virus	GenBank						26-JUL-2016	SA01-1322	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	602	partial		unknown										Rift Valley fever virus strain SA01-1322 NSs protein (NSs) gene, partial cds			SA01-1322	rvf		
PP746467.1	Rift Valley fever virus	GenBank						12-FEB-2025	NA-KOL	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	partial		S					Homo sapiens		03-Jan-2007			Rift Valley fever virus strain NA-KOL nonstructural protein and nucleocapsid genes, complete cds	2007-01-03		NA-KOL	rvf		
KX944804.1	Rift Valley fever virus	GenBank						25-OCT-2018	M127/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1635	partial		S					bovine		2009			Rift Valley fever virus isolate M127/09 nonstructural protein and nucleocapsid protein genes, complete cds	2009		M127/09	rvf		
MG659930.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA250/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA250/10 segment S, complete sequence	2010		SA250/10	rvf		
PP746405.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P69	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-06-13			Rift Valley fever virus strain Rwanda2022P69 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-06-13		Rwanda2022P69	rvf		
KC935380.1	Rift Valley fever virus	GenBank						11-DEC-2013	Namibia_2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					sheep		30-Jul-2010			Rift Valley fever virus isolate Namibia_2010 segment M glycoprotein G2 gene, partial cds	2010-07-30		Namibia_2010	rvf		
KY126712.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar12568	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Eretmapodites quinquevittatus		1971			Rift Valley fever virus isolate Ar12568 segment M, complete sequence	1971		Ar12568	rvf		
PP747236.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018NG10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018NG10 glycoprotein gene, partial cds	2018-01-01		Rwanda2018NG10	rvf		
GQ443131.1	Rift Valley fever virus	GenBank						25-JUL-2016	0435-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	serum	22-Feb-2008			Rift Valley fever virus strain 0435-08 segment S nonstructural protein gene, partial cds	2008-02-22		0435-08	rvf		
EU574065.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007002444	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		05-Feb-2007			Rift Valley fever virus strain 2007002444 segment S, complete sequence	2007-02-05		2007002444	rvf		
AF134497.1	Rift Valley fever virus	GenBank						26-JUL-2016	Ar D38457	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	737	partial		unknown										Rift Valley fever virus Ar D38457 M segment G2 (G2) gene, partial cds			Ar D38457	rvf		
GQ443246.1	Rift Valley fever virus	GenBank						25-JUL-2016	0895-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0895-08 segment M glycoprotein G2 gene, partial cds	2008-03-26		0895-08	rvf		
MG972976.1	Rift Valley fever virus	GenBank						05-MAR-2020	201707023	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3879	complete		M					Homo sapiens		16-Nov-2017			Rift Valley fever virus strain 201707023 segment M, complete sequence	2017-11-16		201707023	rvf		
HE687304.1	Rift Valley fever virus	GenBank						07-JUN-2012	2008/00099	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens	Human serum	21-Feb-2008			Rift Valley fever virus complete L segment, strain 2008/00099, genomic RNA	2008-02-21		2008/00099	rvf		
KY366333.1	Rift Valley fever virus	GenBank						29-JUN-2017	SH272655	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6179	partial		L					Homo sapiens	serum	2015			Rift Valley fever virus isolate SH272655 polymerase gene, partial cds	2015		SH272655	rvf		
KX632068.1	Rift Valley fever virus	GenBank						27-AUG-2016	BJ01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1686	complete		S					Homo sapiens	blood	22-Jul-2016			Rift Valley fever virus isolate BJ01 segment S, complete sequence	2016-07-22		BJ01	rvf		
KX944844.1	Rift Valley fever virus	GenBank						25-OCT-2018	M57/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3867	partial		M					unknown		1974			Rift Valley fever virus isolate M57/74 glycoprotein gene, complete cds	1974		M57/74	rvf		
MG659892.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment L, complete sequence	2011		SA320/11	rvf		
MG659807.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA327/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2011			Rift Valley fever virus isolate SA327/11 segment M, complete sequence	2011		SA327/11	rvf		
GQ443219.1	Rift Valley fever virus	GenBank						25-JUL-2016	0406-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		unknown					Bos taurus	fetal liver	20-Feb-2008			Rift Valley fever virus strain 0406-08 segment M glycoprotein G2 gene, partial cds	2008-02-20		0406-08	rvf		
PP746389.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P23	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-06-13			Rift Valley fever virus strain Rwanda2022P23 nonstructural protein and nucleocapsid genes, complete cds	2022-06-13		Rwanda2022P23	rvf		
KY126691.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA129/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA129/10 segment M, complete sequence	2010		SA129/10	rvf		
MG659939.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment S, complete sequence	2010		SA395/10	rvf		
KU167027.1	Rift Valley fever virus	GenBank						03-MAY-2016	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					mosquito		1955			Rift Valley fever virus strain Lunyo segment L, complete sequence	1955		Lunyo	rvf		
GQ443133.1	Rift Valley fever virus	GenBank						25-JUL-2016	0448-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	26-Feb-2008			Rift Valley fever virus strain 0448-08 segment S nonstructural protein gene, partial cds	2008-02-26		0448-08	rvf		
PP746431.1	Rift Valley fever virus	GenBank						12-FEB-2025	J9	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3840	partial		M					Homo sapiens		11-Jan-2007			Rift Valley fever virus strain J9 glycoprotein gene, partial cds	2007-01-11		J9	rvf		
MG659758.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA250/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA250/10 segment M, complete sequence	2010		SA250/10	rvf		
OP146111.1	Rift Valley fever virus	GenBank						29-MAR-2023	RSA/OBP/RVFV/Inactivated	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M							1974	SAMN29826208	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFV/Inactivated segment M, complete sequence	1974		RSA/OBP/RVFV/Inactivated	rvf		
PP747231.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018NG10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6277	partial		L					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018NG10 polymerase gene, partial cds	2018-01-01		Rwanda2018NG10	rvf		
GU953292.1	Rift Valley fever virus	GenBank						25-JUL-2016		Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	570	partial		unknown					Homo sapiens	serum				Rift Valley fever virus clone RVFV ZH-501-VSVRI vaccine clone glycoprotein n (Gn) gene, partial cds			GU953292.1	rvf		
MH880842.1	Rift Valley fever virus	GenBank						11-MAR-2019	RVF41318	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	683	partial		unknown					Homo sapiens		2016			Rift Valley fever virus isolate RVF41318 nonstructural protein gene, partial cds	2016		RVF41318	rvf		
PP746390.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P26	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1636	partial		S					Bos taurus		2022-11-06			Rift Valley fever virus strain Rwanda2022P26 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2022-11-06		Rwanda2022P26	rvf		
EF076017.1	Frijoles virus VP-161A	GenBank						14-JUL-2016	VP-161A				viral cRNA	461	partial		unknown										Frijoles virus VP-161A N protein gene, partial cds			VP-161A	rvf		
JQ820490.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 2V-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3871	complete		M			Sudan		Homo sapiens	human sera	2007			Rift Valley fever virus strain Sudan 2V-2007 segment M, complete sequence	2007	Sudan	Sudan 2V-2007	rvf	12.8628	30.2176
EU574051.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000225	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000225 segment M, complete sequence	2007-01-16		2007000225	rvf		
AF134551.1	Rift Valley fever virus	GenBank						26-JUL-2016	MP12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		unknown										Rift Valley fever virus S segment strain MP12 nucleocapsid protein (N) gene, partial cds			MP12	rvf		
JF311370.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803164	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		Mar-2008			Rift Valley fever virus strain 200803164 segment L, complete sequence	2008		200803164	rvf		
KX944807.1	Rift Valley fever virus	GenBank						25-OCT-2018	M1955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1655	partial		S					unknown		1955			Rift Valley fever virus isolate M1955 nonstructural protein and nucleocapsid protein genes, complete cds	1955		M1955	rvf		
MG659842.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA225/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA225/10 segment L, complete sequence	2010		SA225/10	rvf		
PP746340.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P91	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		M					Bos taurus		2022-07-09			Rift Valley fever virus strain Rwanda2022P91 polymerase gene, partial cds	2022-07-09		Rwanda2022P91	rvf		
PP746427.1	Rift Valley fever virus	GenBank						12-FEB-2025	J9	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6277	partial		L					Homo sapiens		11-Jan-2007			Rift Valley fever virus strain J9 polymerase gene, partial cds	2007-01-11		J9	rvf		
AF134495.1	Rift Valley fever virus	GenBank						26-JUL-2016	H D47311	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	738	partial		unknown										Rift Valley fever virus H D47311 M segment G2 (G2) gene, partial cds			H D47311	rvf		
PP746400.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P47	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S					Bos taurus		2022-09-06			Rift Valley fever virus strain Rwanda2022P47 nonstructural protein and nucleocapsid genes, complete cds	2022-09-06		Rwanda2022P47	rvf		
HM587074.1	Rift Valley fever virus	GenBank						09-DEC-2011	214445	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		unknown					Aedes mcintoshi		1983			Rift Valley fever virus isolate 214445 segment M glycoprotein G2 gene, partial cds	1983		214445	rvf		
EU574085.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000222	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000222 segment S, complete sequence	2007-01-16		2007000222	rvf		
MG659873.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1061/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1061/10 segment L, complete sequence	2010		SA1061/10	rvf		
PP746465.1	Rift Valley fever virus	GenBank						12-FEB-2025	MSA	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	partial		S					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain MSA nonstructural protein and nucleocapsid genes, complete cds	2007-01-01		MSA	rvf		
GQ443132.1	Rift Valley fever virus	GenBank						25-JUL-2016	0437-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	serum	22-Feb-2008			Rift Valley fever virus strain 0437-08 segment S nonstructural protein gene, partial cds	2008-02-22		0437-08	rvf		
KX944869.1	Rift Valley fever virus	GenBank						25-OCT-2018	M80/08/2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6392	partial		L					bovine		2008			Rift Valley fever virus isolate M80/08/2 segment L polymerase gene, complete cds	2008		M80/08/2	rvf		
PP746453.1	Rift Valley fever virus	GenBank						12-FEB-2025	A-MO	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3875	partial		M					Homo sapiens		01-Nov-2020			Rift Valley fever virus strain A-MO glycoprotein gene, complete cds	2020-11-01		A-MO	rvf		
OP146108.1	Rift Valley fever virus	GenBank						29-MAR-2023	RSA/OBP/RVFVSmithburn/LAV	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M							1944	SAMN29826207	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFVSmithburn/LAV isolate Smithburn segment M, complete sequence	1944		RSA/OBP/RVFVSmithburn/LAV	rvf		
HE687305.1	Rift Valley fever virus	GenBank						07-JUN-2012	2008/00101	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					Homo sapiens	Human serum	20-Mar-2008			Rift Valley fever virus complete L segment, strain 2008/00101, genomic RNA	2008-03-20		2008/00101	rvf		
EU574059.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007003644	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					ovine		07-Feb-2007			Rift Valley fever virus strain 2007003644 segment S, complete sequence	2007-02-07		2007003644	rvf		
GQ443139.1	Rift Valley fever virus	GenBank						25-JUL-2016	0693-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Homo sapiens	serum	11-Mar-2008			Rift Valley fever virus strain 0693-08 segment S nonstructural protein gene, partial cds	2008-03-11		0693-08	rvf		
MG659912.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA85/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA85/10 segment S, complete sequence	2010		SA85/10	rvf		
KX944829.1	Rift Valley fever virus	GenBank						25-OCT-2018	M16/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3876	partial		M					ovine		2010			Rift Valley fever virus isolate M16/10 glycoprotein gene, complete cds	2010		M16/10	rvf		
AF134496.1	Rift Valley fever virus	GenBank						26-JUL-2016	H D47408	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	738	partial		unknown										Rift Valley fever virus H D47408 M segment G2 (G2) gene, partial cds			H D47408	rvf		
GQ443127.1	Rift Valley fever virus	GenBank						25-JUL-2016	0406-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		unknown					Bos taurus	fetal liver	20-Feb-2008			Rift Valley fever virus strain 0406-08 segment S nonstructural protein gene, partial cds	2008-02-20		0406-08	rvf		
MW567934.1	Phlebovirus riftense	GenBank						28-APR-2021	KLF 019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Aedes pembaensis		2007			Phlebovirus riftense isolate KLF 019 segment L, complete sequence	2007		KLF 019	rvf		
GU135850.1	Rift Valley fever virus	GenBank						03-APR-2012	FI-79	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Anopheles squamosus	unfed female mosquitos	20-Dec-2008			Rift Valley fever virus strain FI-79 segment L polymerase gene, partial cds	2008-12-20		FI-79	rvf		
MG659774.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA509/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA509/10 segment M, complete sequence	2010		SA509/10	rvf		
JF326199.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000245	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					mosquito		29-Dec-2006			Rift Valley fever virus strain 2007000245 segment S, complete sequence	2006-12-29		2007000245	rvf		
MG659898.1	Rift Valley fever virus	GenBank						13-NOV-2020	B314	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		1962			Rift Valley fever virus isolate B314 segment L, complete sequence	1962		B314	rvf		
KX944803.1	Rift Valley fever virus	GenBank						25-OCT-2018	M06/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1672	partial		S					bovine		2010			Rift Valley fever virus isolate M06/10 nonstructural protein and nucleocapsid protein genes, complete cds	2010		M06/10	rvf		
MG659763.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA336/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA336/10 segment M, complete sequence	2010		SA336/10	rvf		
PQ436081.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD300/Kabale1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3404	partial		S					Homo sapiens		2022-03-10			Rift Valley fever virus isolate CD300/Kabale1-2022 segment M glycoprotein gene, partial cds	2022-03-10		CD300/Kabale1-2022	rvf		
MW567936.1	Phlebovirus riftense	GenBank						28-APR-2021	KLF 019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	798	partial		unknown					Aedes pembaensis		2007			Phlebovirus riftense isolate KLF 019 segment S nonstructural protein gene, complete cds	2007		KLF 019	rvf		
MG659771.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA472/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA472/10 segment M, complete sequence	2010		SA472/10	rvf		
PP541454.1	Rift Valley fever virus	GenBank						27-OCT-2024	SH409226	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		11-Nov-2022			Rift Valley fever virus isolate SH409226 segment M, complete sequence	2022-11-11		SH409226	rvf		
GU135855.1	Rift Valley fever virus	GenBank						03-APR-2012	AL-55	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Anopheles squamosus	unfed female mosquitos	28-Apr-2009			Rift Valley fever virus strain AL-55 segment L polymerase gene, partial cds	2009-04-28		AL-55	rvf		
EU574068.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001811	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					caprine		01-Dec-2006			Rift Valley fever virus strain 2007001811 segment S, complete sequence	2006-12-01		2007001811	rvf		
EU574026.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007000224	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		16-Jan-2007			Rift Valley fever virus strain 2007000224 segment L, complete sequence	2007-01-16		2007000224	rvf		
PP746326.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P47	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6234	partial		L					Bos taurus		2022-06-09			Rift Valley fever virus strain Rwanda2022P47 polymerase gene, partial cds	2022-06-09		Rwanda2022P47	rvf		
MG659900.1	Rift Valley fever virus	GenBank						13-NOV-2020	VRL2051/76	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		1976			Rift Valley fever virus isolate VRL2051/76 segment L, complete sequence	1976		VRL2051/76	rvf		
ON211622.1	Rift Valley fever virus	GenBank						25-SEP-2022	RVax-1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Vero cells		09-Feb-2020			Rift Valley fever virus strain RVax-1 segment L, complete sequence	2020-02-09		RVax-1	rvf		
KX944866.1	Rift Valley fever virus	GenBank						25-OCT-2018	M48/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L					bovine		2008			Rift Valley fever virus isolate M48/08 segment L polymerase gene, complete cds	2008		M48/08	rvf		
JF326196.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					Homo sapiens		08-Jan-2007			Rift Valley fever virus strain 2007000003 segment S, complete sequence	2007-01-08		2007000003	rvf		
MW567935.1	Phlebovirus riftense	GenBank						28-APR-2021	KLF 019	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3480	partial		S					Aedes pembaensis		2007			Phlebovirus riftense isolate KLF 019 segment M glycoprotein gene, partial cds	2007		KLF 019	rvf		
MG659784.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA746/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA746/10 segment M, complete sequence	2010		SA746/10	rvf		
MG659945.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA484/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA484/10 segment S, complete sequence	2010		SA484/10	rvf		
JF311394.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803170	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		Mar-2008			Rift Valley fever virus strain 200803170 segment S, complete sequence	2008		200803170	rvf		
MG659735.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA62/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA62/10 segment M, complete sequence	2010		SA62/10	rvf		
PP746457.1	Rift Valley fever virus	GenBank						12-FEB-2025	MSA	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3875	partial		M					Homo sapiens		01-Jan-2007			Rift Valley fever virus strain MSA glycoprotein gene, complete cds	2007-01-01		MSA	rvf		
MG659756.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA225/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA225/10 segment M, complete sequence	2010		SA225/10	rvf		
PP746320.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P326	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6261	partial		L					Bos taurus		2022-09-28			Rift Valley fever virus strain Rwanda2022P326 polymerase gene, partial cds	2022-09-28		Rwanda2022P326	rvf		
PV231436.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_CAP/2020/2112_S4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3096	complete		S					caprine		2020			Rift Valley fever virus isolate BOT_CAP/2020/2112_S4 segment M, complete sequence	2020		BOT_CAP/2020/2112_S4	rvf		
GQ443207.1	Rift Valley fever virus	GenBank						25-JUL-2016	0895-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		unknown					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0895-08 segment L polymerase gene, partial cds	2008-03-26		0895-08	rvf		
MG659813.1	Rift Valley fever virus	GenBank						13-NOV-2020	S35	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					ovine		1972			Rift Valley fever virus isolate S35 segment M, complete sequence	1972		S35	rvf		
JF311391.1	Rift Valley fever virus	GenBank						16-JUN-2011	200803167	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S					bovine		Feb-1991			Rift Valley fever virus strain 200803167 segment S, complete sequence	1991		200803167	rvf		
