Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
KY126709.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU404/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2009			Rift Valley fever virus isolate SPU404/09 segment M, complete sequence	2009	South Africa	SPU404/09	rvf	KY126709.1	-30.5595	22.9375	m
EF467178.1	Rift Valley fever virus	GenBank			Lee,J.S., Groebner,J.L., Richardson,J.H., Sang,R.C. and O'Guinn,M.L.	Virology Division, USAMRIID, 1425 Porter St., Fort Detrick, MD 21702, USA		01-MAR-2008	KEN06-ELH131B08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya	Kenya		Aedes ochraceus		Dec-2006			Rift Valley fever virus strain KEN06-ELH131B08 segment M, complete sequence	2006-12	Kenya	KEN06-ELH131B08	rvf	EF467178.1	0.0236	37.9062	m
MG659742.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA93/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA93/10 segment M, complete sequence	2010	South Africa	SA93/10	rvf	MG659742.1	-30.5595	22.9375	m
JQ820487.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 7-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 7-2010 segment M, complete sequence	2010-10	Sudan	Sudan 7-2010	rvf	JQ820487.1	12.8628	30.2176	m
EU574051.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000225	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000225 segment M, complete sequence	2007-01-16	Kenya	2007000225	rvf	EU574051.1	0.0236	37.9062	m
DQ380203.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZH-1776	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Egypt: Gharbiya	Egypt		Homo sapiens	human sera	1978			Rift Valley fever virus strain ZH-1776 segment M, complete sequence	1978	Egypt	ZH-1776	rvf	DQ380203.1	26.8206	30.8025	m
DQ380194.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2373/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1974			Rift Valley fever virus strain 2373/74 segment M, complete sequence	1974	Zimbabwe	2373/74	rvf	DQ380194.1	-19.0154	29.1549	m
DQ380191.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Entebbe	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Uganda	Uganda		mosquito		1944			Rift Valley fever virus strain Entebbe segment M, complete sequence	1944	Uganda	Entebbe	rvf	DQ380191.1	1.3733	32.2903	m
OM744369.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-372	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3881	complete		M		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-372 segment M, complete sequence	2021-07-15	Kenya	DVS-372	rvf	OM744369.1	0.0236	37.9062	m
MG659816.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	VRL1290/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe	Zimbabwe		bovine		1978			Rift Valley fever virus isolate VRL1290/78 segment M, complete sequence	1978	Zimbabwe	VRL1290/78	rvf	MG659816.1	-19.0154	29.1549	m
MT561460.1	Rift Valley fever virus	GenBank			Monaco,F., Pinoni,C., Cosseddu,G.M., Siegfried,K., Kudakwashe,M., Paolo,C., Umberto,M., Alec,B., Annamaria,C., Massimo,S. and Rossella,L.	Viral Exotic Diseases, Istituto Zooprofilattico Sperimentale 'G. Caporale', Campo Boario, Teramo, Abruzzo 64100, Italy		05-MAY-2021	Namibia_2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Namibia	Namibia		ovine		30-Jul-2010			Rift Valley fever virus isolate Namibia_2010 segment M, complete sequence	2010-07-30	Namibia	Namibia_2010	rvf	MT561460.1	-22.9576	18.4904	m
EU574045.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001443	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Nakuru district	Kenya		bovine		31-Jan-2007			Rift Valley fever virus strain 2007001443 segment M, complete sequence	2007-01-31	Kenya	2007001443	rvf	EU574045.1	0.0236	37.9062	m
EU574031.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007004194	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Kiambu district	Kenya		bovine		14-May-2007			Rift Valley fever virus strain 2007004194 segment M, complete sequence	2007-05-14	Kenya	2007004194	rvf	EU574031.1	0.0236	37.9062	m
DQ380221.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	73HB1230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Central African Republic	Central African Republic		Homo sapiens	human sera	1973			Rift Valley fever virus strain 73HB1230 segment M, complete sequence	1973	Central African Republic	73HB1230	rvf	DQ380221.1	6.6111	20.9394	m
OM744368.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-356	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3874	complete		M		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-356 segment M, complete sequence	2021-07-15	Kenya	DVS-356	rvf	OM744368.1	0.0236	37.9062	m
MG659787.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1061/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1061/10 segment M, complete sequence	2010	South Africa	SA1061/10	rvf	MG659787.1	-30.5595	22.9375	m
MG659800.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1457/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1457/10 segment M, complete sequence	2010	South Africa	SA1457/10	rvf	MG659800.1	-30.5595	22.9375	m
MG659817.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Uganda	Uganda		Aedes sp. (mosquito)		1955			Rift Valley fever virus isolate Lunyo segment M, complete sequence	1955	Uganda	Lunyo	rvf	MG659817.1	1.3733	32.2903	m
KY126697.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA982/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA982/10 segment M, complete sequence	2010	South Africa	SA982/10	rvf	KY126697.1	-30.5595	22.9375	m
PV231435.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,J., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_BOV/2014/1894_S3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3096	complete		M		Botswana	Botswana		bovine		2014			Rift Valley fever virus isolate BOT_BOV/2014/1894_S3 segment M, complete sequence	2014	Botswana	BOT_BOV/2014/1894_S3	rvf	PV231435.1	-22.3285	24.6849	m
MG659808.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA342/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA342/11 segment M, complete sequence	2011	South Africa	SA342/11	rvf	MG659808.1	-30.5595	22.9375	m
JQ820490.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 2V-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3871	complete		M		Sudan: White Nile State	Sudan		Homo sapiens	human sera	2007			Rift Valley fever virus strain Sudan 2V-2007 segment M, complete sequence	2007	Sudan	Sudan 2V-2007	rvf	JQ820490.1	12.8628	30.2176	m
MG659778.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA632/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA632/10 segment M, complete sequence	2010	South Africa	SA632/10	rvf	MG659778.1	-30.5595	22.9375	m
JF311381.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803166	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar: Antananarivo	Madagascar		Homo sapiens		Feb-1991			Rift Valley fever virus strain 200803166 segment M, complete sequence	1991-02	Madagascar	200803166	rvf	JF311381.1	-18.7669	46.8691	m
EU574040.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001811	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Garissa district	Kenya		caprine		01-Dec-2006			Rift Valley fever virus strain 2007001811 segment M, complete sequence	2006-12-01	Kenya	2007001811	rvf	EU574040.1	0.0236	37.9062	m
MG659775.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA535/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA535/10 segment M, complete sequence	2010	South Africa	SA535/10	rvf	MG659775.1	-30.5595	22.9375	m
KY126711.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	An1830	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		ovine		1956			Rift Valley fever virus isolate An1830 segment M, complete sequence	1956	South Africa	An1830	rvf	KY126711.1	-30.5595	22.9375	m
DQ380202.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	ZH-501-777	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Egypt	Egypt			plaque pick of ZH-501	1977			Rift Valley fever virus strain ZH-501-777 segment M, complete sequence	1977	Egypt	ZH-501-777	rvf	DQ380202.1	26.8206	30.8025	m
EU574052.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000224	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000224 segment M, complete sequence	2007-01-16	Kenya	2007000224	rvf	EU574052.1	0.0236	37.9062	m
MG659814.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	VRL2051/76	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe	Zimbabwe		Homo sapiens		1976			Rift Valley fever virus isolate VRL2051/76 segment M, complete sequence	1976	Zimbabwe	VRL2051/76	rvf	MG659814.1	-19.0154	29.1549	m
MG659781.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA638/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA638/10 segment M, complete sequence	2010	South Africa	SA638/10	rvf	MG659781.1	-30.5595	22.9375	m
DQ380210.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	MgH824	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar	Madagascar		Homo sapiens	human sera	1979			Rift Valley fever virus strain MgH824 segment M, complete sequence	1979	Madagascar	MgH824	rvf	DQ380210.1	-18.7669	46.8691	m
MG659756.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA225/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA225/10 segment M, complete sequence	2010	South Africa	SA225/10	rvf	MG659756.1	-30.5595	22.9375	m
MG659802.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1601/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1601/10 segment M, complete sequence	2010	South Africa	SA1601/10	rvf	MG659802.1	-30.5595	22.9375	m
MG659764.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA344/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA344/10 segment M, complete sequence	2010	South Africa	SA344/10	rvf	MG659764.1	-30.5595	22.9375	m
MG659753.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA165/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA165/10 segment M, complete sequence	2010	South Africa	SA165/10	rvf	MG659753.1	-30.5595	22.9375	m
MG659799.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1405/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1405/10 segment M, complete sequence	2010	South Africa	SA1405/10	rvf	MG659799.1	-30.5595	22.9375	m
DQ380197.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Saudi 2000-10911	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Saudi Arabia	Saudi Arabia		Homo sapiens	human sera	2000			Rift Valley fever virus strain Saudi 2000-10911 segment M, complete sequence	2000	Saudi Arabia	Saudi 2000-10911	rvf	DQ380197.1	23.8859	45.0792	m
DQ380205.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZS-6365	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Egypt: Gharbiya	Egypt		ovine		1979			Rift Valley fever virus strain ZS-6365 segment M, complete sequence	1979	Egypt	ZS-6365	rvf	DQ380205.1	26.8206	30.8025	m
MG659758.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA250/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA250/10 segment M, complete sequence	2010	South Africa	SA250/10	rvf	MG659758.1	-30.5595	22.9375	m
EU574042.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000618	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Meru South district	Kenya		bovine		29-Jan-2007			Rift Valley fever virus strain 2007000618 segment M, complete sequence	2007-01-29	Kenya	2007000618	rvf	EU574042.1	0.0236	37.9062	m
MG659749.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA122/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA122/10 segment M, complete sequence	2010	South Africa	SA122/10	rvf	MG659749.1	-30.5595	22.9375	m
MG659806.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment M, complete sequence	2011	South Africa	SA320/11	rvf	MG659806.1	-30.5595	22.9375	m
EU574044.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001564	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Muranga district	Kenya		bovine		29-Jan-2007			Rift Valley fever virus strain 2007001564 segment M, complete sequence	2007-01-29	Kenya	2007001564	rvf	EU574044.1	0.0236	37.9062	m
EU574055.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000094	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Garissa district	Kenya		bovine		12-Jan-2007			Rift Valley fever virus strain 2007000094 segment M, complete sequence	2007-01-12	Kenya	2007000094	rvf	EU574055.1	0.0236	37.9062	m
DQ380183.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-9	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Mauritania	Mauritania		Homo sapiens	human sera	1987			Rift Valley fever virus strain OS-9 segment M, complete sequence	1987	Mauritania	OS-9	rvf	DQ380183.1	21.0079	-10.9408	m
KY126693.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA184/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA184/10 segment M, complete sequence	2010	South Africa	SA184/10	rvf	KY126693.1	-30.5595	22.9375	m
EU574035.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002482	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Thika district	Kenya		bovine		21-Feb-2007			Rift Valley fever virus strain 2007002482 segment M, complete sequence	2007-02-21	Kenya	2007002482	rvf	EU574035.1	0.0236	37.9062	m
