Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
AF134783.1	Rift Valley fever virus	GenBank			Sall,A.A., Zanotto,P.M., Sene,O.K., Digoutte,H.G., Thiogane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Paster de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	H D 47311	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	129	partial												Rift Valley fever virus strain H D 47311 polymerase (L) gene, partial cds			H D 47311	rvf	AF134783.1		
GQ443161.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0895-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S		Madagascar	Madagascar		Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0895-08 segment S nonstructural protein gene, partial cds	2008-03-26	Madagascar	0895-08	rvf	GQ443161.1	-18.7669	46.8691
PP746387.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P13	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1629	partial		S		Rwanda	Rwanda		Bos taurus		2022-08-06			Rift Valley fever virus strain Rwanda2022P13 nonstructural protein and nucleocapsid genes, complete cds	2022-08-06	Rwanda	Rwanda2022P13	rvf	PP746387.1	-1.9403	29.8739
KY126669.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA275/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA275/10 segment L, complete sequence	2010	South Africa	SA275/10	rvf	KY126669.1	-30.5595	22.9375
ON060822.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2020000148_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6222	partial		L		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 2020000148_L|Uganda RNA-dependent RNA polymerase gene, partial cds	2018	Uganda	2020000148_L|Uganda	rvf	ON060822.1	1.3733	32.2903
HM587057.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	MgAn1002	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Madagascar	Madagascar		bovine		1991			Rift Valley fever virus isolate MgAn1002 segment M glycoprotein G2 gene, partial cds	1991	Madagascar	MgAn1002	rvf	HM587057.1	-18.7669	46.8691
AF134495.1	Rift Valley fever virus	GenBank			Sall,A.A., de A. Zanotto,P.M., Sene,O.K., Zeller,H.D., Digoutte,J.P., Thiongane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Pateur de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	H D47311	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	738	partial		M										Rift Valley fever virus H D47311 M segment G2 (G2) gene, partial cds			H D47311	rvf	AF134495.1		
EF530207.1	Rift Valley fever virus	GenBank			Potgieter,A.C. Sr.	Virology, Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Onderstepoort, Gauteng 0110, South Africa		29-APR-2007	OV 35/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	738	partial		S		South Africa	South Africa			infected mouse brain				Rift Valley fever virus isolate OV 35/74 segment S nucleoprotein gene, complete cds		South Africa	OV 35/74	rvf	EF530207.1	-30.5595	22.9375
KY196507.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment S, complete sequence	1955	South Africa	Ar74	rvf	KY196507.1	-30.5595	22.9375
MG659812.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	B314	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya	Kenya		bovine		1962			Rift Valley fever virus isolate B314 segment M, complete sequence	1962	Kenya	B314	rvf	MG659812.1	0.0236	37.9062
PP746327.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P5	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		L		Rwanda	Rwanda		Bos taurus		2022-06-03			Rift Valley fever virus strain Rwanda2022P5 polymerase gene, partial cds	2022-06-03	Rwanda	Rwanda2022P5	rvf	PP746327.1	-1.9403	29.8739
KY196501.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU77/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate SPU77/08 segment S, complete sequence	2008	South Africa	SPU77/08	rvf	KY196501.1	-30.5595	22.9375
DQ380208.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	MP-12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M						derived from RVFV ZH-548				Rift Valley fever virus strain MP-12 segment M, complete sequence			MP-12	rvf	DQ380208.1		
OM744374.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-372	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-372 segment S, complete sequence	2021-07-15	Kenya	DVS-372	rvf	OM744374.1	0.0236	37.9062
KY126684.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU404/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2009			Rift Valley fever virus isolate SPU404/09 segment L, complete sequence	2009	South Africa	SPU404/09	rvf	KY126684.1	-30.5595	22.9375
GQ443230.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0845-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0845-08 segment M glycoprotein G2 gene, partial cds	2008-03-23	Madagascar	0845-08	rvf	GQ443230.1	-18.7669	46.8691
JN995328.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M1_HM_MR_HS_2003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Mauritania: Hseytine	Mauritania		Homo sapiens		2003			Rift Valley fever virus strain M1_HM_MR_HS_2003 glycoprotein gene, partial cds	2003	Mauritania	M1_HM_MR_HS_2003	rvf	JN995328.1	21.0079	-10.9408
MG659948.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA538/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA538/10 segment S, complete sequence	2010	South Africa	SA538/10	rvf	MG659948.1	-30.5595	22.9375
KY126705.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate J40/6 segment M, complete sequence	2008	South Africa	J40/6	rvf	KY126705.1	-30.5595	22.9375
JN995307.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M267_ANKda_SN_KO_1993	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Senegal: Kolda	Senegal		bovine		1993			Rift Valley fever virus strain M267_ANKda_SN_KO_1993 glycoprotein gene, partial cds	1993	Senegal	M267_ANKda_SN_KO_1993	rvf	JN995307.1	14.4974	-14.4524
PP746398.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P40	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1658	partial		S		Rwanda	Rwanda		Bos taurus		2022-03-07			Rift Valley fever virus strain Rwanda2022P40 nonstructural protein and nucleocapsid genes, complete cds	2022-03-07	Rwanda	Rwanda2022P40	rvf	PP746398.1	-1.9403	29.8739
JN995309.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	M18_ANBk_SN_BA_1993	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	718	partial				Senegal: Barkedji	Senegal		sheep		1993			Rift Valley fever virus strain M18_ANBk_SN_BA_1993 glycoprotein gene, partial cds	1993	Senegal	M18_ANBk_SN_BA_1993	rvf	JN995309.1	14.4974	-14.4524
KY126673.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1094/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1094/10 segment L, complete sequence	2010	South Africa	SA1094/10	rvf	KY126673.1	-30.5595	22.9375
HM587047.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	SPU52/99/5	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		South Africa	South Africa		African buffalo		1999			Rift Valley fever virus isolate SPU52/99/5 segment M glycoprotein G2 gene, partial cds	1999	South Africa	SPU52/99/5	rvf	HM587047.1	-30.5595	22.9375
AF134507.1	Rift Valley fever virus	GenBank			Sall,A.A., de A. Zanotto,P.M., Sene,O.K., Zeller,H.D., Digoutte,J.P., Thiongane,Y. and Bouloy,M.	Laboratoire des Bunyavirides, Institute Pateur de Dakar, BP 220, Dakar, Senegal		26-JUL-2016	MP12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic DNA	725	partial		M										Rift Valley fever virus MP12 M segment G2 (G2) gene, partial cds			MP12	rvf	AF134507.1		
ON060832.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	2020002574_M|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3871	partial		M		Uganda	Uganda		Homo sapiens					Rift Valley fever virus isolate 2020002574_M|Uganda glycoprotein gene, complete cds		Uganda	2020002574_M|Uganda	rvf	ON060832.1	1.3733	32.2903
GQ443254.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	2032-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Homo sapiens	serum	25-May-2008			Rift Valley fever virus strain 2032-08 segment M glycoprotein G2 gene, partial cds	2008-05-25	Madagascar	2032-08	rvf	GQ443254.1	-18.7669	46.8691
KY126685.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment L, complete sequence	1955	South Africa	Ar74	rvf	KY126685.1	-30.5595	22.9375
FV537367.1	Rift Valley fever virus	GenBank			Millar,D.S. and Meruki,J.R.			18-MAR-2010		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	3885	partial												Modified Microbial Nucleic Acid			FV537367.1	rvf	FV537367.1		
CS810870.1	Rift Valley fever virus	GenBank			Roy,P. and Liu,L.			14-DEC-2007		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	3885	partial												Sequence 3 from Patent WO2007104979			CS810870.1	rvf	CS810870.1		
GN355317.1	Rift Valley fever virus	GenBank			Baptista,C.S., Wu,X. and Munroe,D.J.			12-MAY-2009		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	60	partial												Sequence 5081 from Patent WO2007130519			GN355317.1	rvf	GN355317.1		
KU978776.1	Rift Valley fever virus	GenBank			Rossi,S.L., Forrester,N.L., Ksiazek,T., Guerbois,M., Lin,D., Hari,K. and Weaver,S.C.	Microbiology and Immunology, University of Texas Medical Branch, 301 University Boulevard, Galveston, TX 77555, USA		25-MAR-2017	ZINGA J83 R1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3951	complete		M		Central African Republic	Central African Republic		Homo sapiens		01-Jan-1969	SAMN04017540	PRJNA257008	Rift Valley fever virus isolate ZINGA J83 R1 segment M, complete sequence	1969-01-01	Central African Republic	ZINGA J83 R1	rvf	KU978776.1	6.6111	20.9394
MG659910.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA76/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA76/10 segment S, complete sequence	2010	South Africa	SA76/10	rvf	MG659910.1	-30.5595	22.9375
MG659791.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1095/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1095/10 segment M, complete sequence	2010	South Africa	SA1095/10	rvf	MG659791.1	-30.5595	22.9375
GQ443163.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	1464-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S		Madagascar	Madagascar		Homo sapiens	serum	28-Mar-2008			Rift Valley fever virus strain 1464-08 segment S nonstructural protein gene, partial cds	2008-03-28	Madagascar	1464-08	rvf	GQ443163.1	-18.7669	46.8691
MG659904.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	HD21955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Senegal	Senegal		Homo sapiens		1975			Rift Valley fever virus isolate HD21955 segment L, complete sequence	1975	Senegal	HD21955	rvf	MG659904.1	14.4974	-14.4524
KY196492.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment S, complete sequence	2010	South Africa	SA276/10	rvf	KY196492.1	-30.5595	22.9375
PP746469.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	JU-KB	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6381	partial		L		Kenya: Isiolo	Kenya		Homo sapiens		11-Jan-2007			Rift Valley fever virus strain JU-KB polymerase gene, complete cds	2007-01-11	Kenya	JU-KB	rvf	PP746469.1	0.0236	37.9062
JN995296.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S38_ARBkmuf_SN_BA_2003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Senegal: Barkedji	Senegal		Mansonia uniformis		2003			Rift Valley fever virus strain S38_ARBkmuf_SN_BA_2003 non-structural protein gene, partial cds	2003	Senegal	S38_ARBkmuf_SN_BA_2003	rvf	JN995296.1	14.4974	-14.4524
HB475447.1	Rift Valley fever virus	GenBank			Bird,B.H., Albarino,C.G., Nichol,S.T. and Ksiazek,T.G.			04-AUG-2009		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	6404	partial												Sequence 3 from Patent WO2009082647			HB475447.1	rvf	HB475447.1		
DQ375421.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ANK-6087	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Guinea	Guinea			Micropterus pusillus (bat)	1984			Rift Valley fever virus strain ANK-6087 segment L, complete sequence	1984	Guinea	ANK-6087	rvf	DQ375421.1	9.9456	-9.6966
GQ443226.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0683-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Homo sapiens	serum	12-Mar-2008			Rift Valley fever virus strain 0683-08 segment M glycoprotein G2 gene, partial cds	2008-03-12	Madagascar	0683-08	rvf	GQ443226.1	-18.7669	46.8691
DQ380148.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	ZH-501-777	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Egypt	Egypt			small plaque pick of ZH-501				Rift Valley fever virus strain ZH-501-777 segment S, complete sequence		Egypt	ZH-501-777	rvf	DQ380148.1	26.8206	30.8025
PP746449.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	MSA	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		L		Kenya: Baringo	Kenya		Homo sapiens		01-Jan-2007			Rift Valley fever virus strain MSA polymerase gene, complete cds	2007-01-01	Kenya	MSA	rvf	PP746449.1	0.0236	37.9062
MG659841.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA220/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA220/10 segment L, complete sequence	2010	South Africa	SA220/10	rvf	MG659841.1	-30.5595	22.9375
PP746376.1	Rift Valley fever virus	GenBank			Juma,J.A., Nsengimana,I., Mwangi,R., Nyamota,R., Konongoi,S.L., Roesel,K., Gasana,M.N., Ingabire,A., Uwibambe,E., Ndayisenga,F., Mavunyi,C.M., Hazikimana,E., Hazikimana,J.N., Eastwood,G., Chengula,A., Kasanga,C.J., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		22-AUG-2024	Rwanda2022P90	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3531	partial		M		Rwanda	Rwanda		Bos taurus		2022-07-09			Rift Valley fever virus strain Rwanda2022P90 glycoprotein gene, partial cds	2022-07-09	Rwanda	Rwanda2022P90	rvf	PP746376.1	-1.9403	29.8739
MG659954.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA665/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA665/10 segment S, complete sequence	2010	South Africa	SA665/10	rvf	MG659954.1	-30.5595	22.9375
ON060779.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201900879_M|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3867	partial		M		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201900879_M|Uganda|2018 glycoprotein gene, complete cds	2018	Uganda	201900879_M|Uganda|2018	rvf	ON060779.1	1.3733	32.2903
