Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
JQ820479.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan SP-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Sudan: White Nile State	Sudan		Homo sapiens	human sera	2007			Rift Valley fever virus strain Sudan SP-2007 segment S, complete sequence	2007	Sudan	Sudan SP-2007	rvf	JQ820479.1	12.8628	30.2176	s
MG649060.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-8d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S		China: Beijing	China		Homo sapiens	serum	23-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-8d/2016 segment S, complete sequence	2016-06-23	China	RVFV-BJ01-Sera-8d/2016	rvf	MG649060.1	35.8617	104.1954	s
KX611607.1	Rift Valley fever virus	GenBank			Pan,Y., Cui,S., Sun,Y., Li,J., Lv,Y., Dou,X., Li,X., Tian,L., He,Z., Li,X., Chen,L. and Wang,Q.	Institute for Infectious Disease and Endemic Disease Control, Beijing Center for Disease Prevention and Control (CDC), Hepingli Middle St., Beijing, Beijing 100013, China		02-OCT-2016	Beijing-01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		China	China		Homo sapiens		22-Jul-2016			Rift Valley fever virus isolate Beijing-01 segment S, complete sequence	2016-07-22	China	Beijing-01	rvf	KX611607.1	35.8617	104.1954	s
EU574082.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000225	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000225 segment S, complete sequence	2007-01-16	Kenya	2007000225	rvf	EU574082.1	0.0236	37.9062	s
EU574061.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002820	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Garissa district	Kenya		Syncerus caffer (buffalo)		09-Feb-2007			Rift Valley fever virus strain 2007002820 segment S, complete sequence	2007-02-09	Kenya	2007002820	rvf	EU574061.1	0.0236	37.9062	s
EU574067.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002059	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya: Nairobi district	Kenya		ovine		07-Feb-2007			Rift Valley fever virus strain 2007002059 segment S, complete sequence	2007-02-07	Kenya	2007002059	rvf	EU574067.1	0.0236	37.9062	s
EU574058.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007004193	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Nairobi district	Kenya		bovine		23-Apr-2007			Rift Valley fever virus strain 2007004193 segment S, complete sequence	2007-04-23	Kenya	2007004193	rvf	EU574058.1	0.0236	37.9062	s
MG659949.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA591/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA591/10 segment S, complete sequence	2010	South Africa	SA591/10	rvf	MG659949.1	-30.5595	22.9375	s
MG659989.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Uganda	Uganda		Aedes sp. (mosquito)		1955			Rift Valley fever virus isolate Lunyo segment S, complete sequence	1955	Uganda	Lunyo	rvf	MG659989.1	1.3733	32.2903	s
JQ068142.1	Rift Valley fever virus	GenBank			Potgieter,C.A., Smith,S.J. and Kortekaas,J.	Virology, Central Veterinary Institute of Wageningen University and Research Centre, Edelhertweg 15, Lelystad, Flevoland 8219 PH, The Netherlands		24-MAR-2012	Kakamas	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	1691	complete		S		South Africa	South Africa		sheep	blood	Oct-2009			Rift Valley fever virus segment S, complete sequence	2009-10	South Africa	Kakamas	rvf	JQ068142.1	-30.5595	22.9375	s
DQ380160.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	CAR-R1622	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Central African Republic	Central African Republic		Homo sapiens	human sera	1985			Rift Valley fever virus strain CAR-R1622 segment S, complete sequence	1985	Central African Republic	CAR-R1622	rvf	DQ380160.1	6.6111	20.9394	s
OM744373.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-356	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	complete		S		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-356 segment S, complete sequence	2021-07-15	Kenya	DVS-356	rvf	OM744373.1	0.0236	37.9062	s
JQ820477.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 86-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 86-2010 segment S, complete sequence	2010-10	Sudan	Sudan 86-2010	rvf	JQ820477.1	12.8628	30.2176	s
EU312145.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU10302KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU10302KEN07 segment S, complete sequence	2007	Kenya	SPU10302KEN07	rvf	EU312145.1	0.0236	37.9062	s
EU312103.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	56KEN65	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya	Kenya		bovine		1965			Rift Valley fever virus strain 56KEN65 segment S, complete sequence	1965	Kenya	56KEN65	rvf	EU312103.1	0.0236	37.9062	s
EU312135.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	VRL1887ZIM78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe	Zimbabwe		bovine	calf	1978			Rift Valley fever virus strain VRL1887ZIM78 segment S, complete sequence	1978	Zimbabwe	VRL1887ZIM78	rvf	EU312135.1	-19.0154	29.1549	s
JQ820472.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 2V-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Sudan: White Nile State	Sudan		Homo sapiens	human sera	2007			Rift Valley fever virus strain Sudan 2V-2007 segment S, complete sequence	2007	Sudan	Sudan 2V-2007	rvf	JQ820472.1	12.8628	30.2176	s
EU574063.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002476	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Nakuru district	Kenya		bovine		21-Feb-2007			Rift Valley fever virus strain 2007002476 segment S, complete sequence	2007-02-21	Kenya	2007002476	rvf	EU574063.1	0.0236	37.9062	s
EU312110.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	AnTAMBUL	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Egypt	Egypt		animal		1994			Rift Valley fever virus strain AnTAMBUL segment S, complete sequence	1994	Egypt	AnTAMBUL	rvf	EU312110.1	26.8206	30.8025	s
MG659984.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	B314	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		bovine		1962			Rift Valley fever virus isolate B314 segment S, complete sequence	1962	Kenya	B314	rvf	MG659984.1	0.0236	37.9062	s
EU312116.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	ArD38388BF83	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1692	complete		S		Burkina Faso	Burkina Faso		Aedes cumminsii (mosquito)		1983			Rift Valley fever virus strain ArD38388BF83 segment S, complete sequence	1983	Burkina Faso	ArD38388BF83	rvf	EU312116.1	12.2383	-1.5616	s
JF326196.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000003	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Homo sapiens		08-Jan-2007			Rift Valley fever virus strain 2007000003 segment S, complete sequence	2007-01-08	Kenya	2007000003	rvf	JF326196.1	0.0236	37.9062	s
MG659969.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1329/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1329/10 segment S, complete sequence	2010	South Africa	SA1329/10	rvf	MG659969.1	-30.5595	22.9375	s
MG659934.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment S, complete sequence	2010	South Africa	SA322/10	rvf	MG659934.1	-30.5595	22.9375	s
EU312130.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	VRL763ZIM70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe	Zimbabwe		bovine	fetus	1970			Rift Valley fever virus strain VRL763ZIM70 segment S, complete sequence	1970	Zimbabwe	VRL763ZIM70	rvf	EU312130.1	-19.0154	29.1549	s
EU574065.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002444	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Meru Central district	Kenya		bovine		05-Feb-2007			Rift Valley fever virus strain 2007002444 segment S, complete sequence	2007-02-05	Kenya	2007002444	rvf	EU574065.1	0.0236	37.9062	s
OP146109.1	Rift Valley fever virus	GenBank			Mlingo,T.A.M., Beeton-Kempen,N., Mokoena,N.B., Lebea,P.J. and Nthangeni,M.B.	Research and Development: Virology, Onderstepoort Biological Products Soc Ltd, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		29-MAR-2023	RSA/OBP/RVFVSmithburn/LAV	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Uganda	Uganda				1944	SAMN29826207	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFVSmithburn/LAV isolate Smithburn segment S, complete sequence	1944	Uganda	RSA/OBP/RVFVSmithburn/LAV	rvf	OP146109.1	1.3733	32.2903	s
DQ380171.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Kenya 83 (21445)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Aedes macintoshi		1983			Rift Valley fever virus strain Kenya 83 (21445) segment S, complete sequence	1983	Kenya	Kenya 83 (21445)	rvf	DQ380171.1	0.0236	37.9062	s
OP146112.1	Rift Valley fever virus	GenBank			Mlingo,T.A.M., Mokoena,N.B. and Nthangeni,M.B.	Research and Development: Virology, Onderstepoort Biological Products Soc Ltd, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		29-MAR-2023	RSA/OBP/RVFV/Inactivated	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa				1974	SAMN29826208	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFV/Inactivated segment S, complete sequence	1974	South Africa	RSA/OBP/RVFV/Inactivated	rvf	OP146112.1	-30.5595	22.9375	s
MG659967.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1224/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1224/10 segment S, complete sequence	2010	South Africa	SA1224/10	rvf	MG659967.1	-30.5595	22.9375	s
DQ380161.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Hv-B375	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Central African Republic	Central African Republic		Homo sapiens	human sera	1985			Rift Valley fever virus strain Hv-B375 segment S, complete sequence	1985	Central African Republic	Hv-B375	rvf	DQ380161.1	6.6111	20.9394	s
MG659976.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA67/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA67/11 segment S, complete sequence	2011	South Africa	SA67/11	rvf	MG659976.1	-30.5595	22.9375	s
EU709748.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU152RSA08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa: Bela Bela	South Africa		Homo sapiens	human sera	2008			Rift Valley fever virus strain SPU152RSA08 segment S, complete sequence	2008	South Africa	SPU152RSA08	rvf	EU709748.1	-30.5595	22.9375	s
EU312115.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	Ar21229SA00	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Saudi Arabia	Saudi Arabia		mosquito		2000			Rift Valley fever virus strain Ar21229SA00 segment S, complete sequence	2000	Saudi Arabia	Ar21229SA00	rvf	EU312115.1	23.8859	45.0792	s
KM210508.1	Rift Valley fever virus	GenBank			El Mamy,A.B.O., Lo,M.M., Thiongane,Y., Diop,M., Isselmou,K., Doumbia,B., Ould Baba,M., El Arbi,M., Lancelot,R., Albina,E. and Cetre-Sossah,C.	BIOS, CIRAD, CYROI, 2 Rue Maxime Riviere, Sainte Clotilde 97490, France		24-DEC-2014	25010_24	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Mauritania: Aoujeft, Lemsayddi	Mauritania		camel		06-Oct-2010			Rift Valley fever virus isolate 25010_24 segment S, complete sequence	2010-10-06	Mauritania	25010_24	rvf	KM210508.1	21.0079	-10.9408	s
JQ840745.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 1-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Sudan: Khartoum State	Sudan		Homo sapiens	human sera	Oct-2007			Rift Valley fever virus strain Sudan 1-2007 segment S, complete sequence	2007-10	Sudan	Sudan 1-2007	rvf	JQ840745.1	12.8628	30.2176	s
MG659961.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1092/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1092/10 segment S, complete sequence	2010	South Africa	SA1092/10	rvf	MG659961.1	-30.5595	22.9375	s
JF326198.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000234	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain 2007000234 segment S, complete sequence	2007	Kenya	2007000234	rvf	JF326198.1	0.0236	37.9062	s
EU312124.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU77NAM04	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Namibia	Namibia		Homo sapiens		2004			Rift Valley fever virus strain SPU77NAM04 segment S, complete sequence	2004	Namibia	SPU77NAM04	rvf	EU312124.1	-22.9576	18.4904	s
JF311392.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803168	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar: Miarinarivo	Madagascar		bovine		Feb-2008			Rift Valley fever virus strain 200803168 segment S, complete sequence	2008-02	Madagascar	200803168	rvf	JF311392.1	-18.7669	46.8691	s
EU574070.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001800	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Nairobi district	Kenya		bovine		26-Jan-2007			Rift Valley fever virus strain 2007001800 segment S, complete sequence	2007-01-26	Kenya	2007001800	rvf	EU574070.1	0.0236	37.9062	s
EU574087.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000080	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya: Maragua district	Kenya		bovine		12-Jan-2007			Rift Valley fever virus strain 2007000080 segment S, complete sequence	2007-01-12	Kenya	2007000080	rvf	EU574087.1	0.0236	37.9062	s
KY196487.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU105/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU105/10 segment S, complete sequence	2010	South Africa	SPU105/10	rvf	KY196487.1	-30.5595	22.9375	s
JF784388.1	Rift Valley fever virus	GenBank			Potgieter,C.A., Wright,I. and Kortekaas,J.	Virology, Central Veterinary Institute, Wageningen University and Research Centre, Edelhertweg 15, Lelystad, Flevoland 8219 PH, The Netherlands		09-NOV-2011	35/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	1691	complete		S		South Africa	South Africa		sheep	liver	1974			Rift Valley fever virus strain 35/74 segment S, complete sequence	1974	South Africa	35/74	rvf	JF784388.1	-30.5595	22.9375	s
JQ820475.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 34-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 34-2010 segment S, complete sequence	2010-10	Sudan	Sudan 34-2010	rvf	JQ820475.1	12.8628	30.2176	s
MG659925.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA165/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA165/10 segment S, complete sequence	2010	South Africa	SA165/10	rvf	MG659925.1	-30.5595	22.9375	s
MG659978.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment S, complete sequence	2011	South Africa	SA320/11	rvf	MG659978.1	-30.5595	22.9375	s
