Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
EU574021.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000618	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Meru South district	Kenya		bovine		29-Jan-2007			Rift Valley fever virus strain 2007000618 segment L, complete sequence	2007-01-29	Kenya	2007000618	rvf	EU574021.1	0.0236	37.9062	l
MG659821.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA62/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA62/10 segment L, complete sequence	2010	South Africa	SA62/10	rvf	MG659821.1	-30.5595	22.9375	l
PV231441.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,L., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_CAP/2017/2928_S5	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		L		Botswana	Botswana		caprine		2017			Rift Valley fever virus isolate BOT_CAP/2017/2928_S5 segment L, complete sequence	2017	Botswana	BOT_CAP/2017/2928_S5	rvf	PV231441.1	-22.3285	24.6849	l
EU574026.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000224	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000224 segment L, complete sequence	2007-01-16	Kenya	2007000224	rvf	EU574026.1	0.0236	37.9062	l
DQ375400.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Kenya 9800523	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya	Kenya			human sera	1998			Rift Valley fever virus strain Kenya 9800523 segment L, complete sequence	1998	Kenya	Kenya 9800523	rvf	DQ375400.1	0.0236	37.9062	l
KY126670.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment L, complete sequence	2010	South Africa	SA276/10	rvf	KY126670.1	-30.5595	22.9375	l
MG659890.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA67/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA67/11 segment L, complete sequence	2011	South Africa	SA67/11	rvf	MG659890.1	-30.5595	22.9375	l
DQ375418.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	1260/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Zimbabwe: Salisbury	Zimbabwe			bovine fetus	1978			Rift Valley fever virus strain 1260/78 segment L, complete sequence	1978	Zimbabwe	1260/78	rvf	DQ375418.1	-19.0154	29.1549	l
JF784386.1	Rift Valley fever virus	GenBank			Potgieter,C.A., Wright,I. and Kortekaas,J.	Virology, Central Veterinary Institute, Wageningen University and Research Centre, Edelhertweg 15, Lelystad, Flevoland 8219 PH, The Netherlands		09-NOV-2011	35/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	6404	complete		L		South Africa	South Africa		sheep	liver	1974			Rift Valley fever virus strain 35/74 segment L, complete sequence	1974	South Africa	35/74	rvf	JF784386.1	-30.5595	22.9375	l
DQ375423.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	CAR-R1622	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Central African Republic: Bangui	Central African Republic			human sera	1985			Rift Valley fever virus strain CAR-R1622 segment L, complete sequence	1985	Central African Republic	CAR-R1622	rvf	DQ375423.1	6.6111	20.9394	l
MG659903.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Lunyo	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Uganda	Uganda		Aedes sp. (mosquito)		1955			Rift Valley fever virus isolate Lunyo segment L, complete sequence	1955	Uganda	Lunyo	rvf	MG659903.1	1.3733	32.2903	l
MG659834.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA110/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA110/10 segment L, complete sequence	2010	South Africa	SA110/10	rvf	MG659834.1	-30.5595	22.9375	l
EU574013.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002060	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Nairobi district	Kenya		bovine		31-Jan-2007			Rift Valley fever virus strain 2007002060 segment L, complete sequence	2007-01-31	Kenya	2007002060	rvf	EU574013.1	0.0236	37.9062	l
OR805805.1	Rift Valley fever virus	GenBank			Chabert,M., Vattipally,S., Nomikou,K., da Silva Filipe,A., Lacote,S., Marianneau,P., Cetre-Sossah,C., Arnaud,F. and Ratinier,M.	IVPC UMR754, EPHE - PSL, INRAE, Universite Claude Bernard Lyon1, 50 Avenue Tony Garnier, Lyon 69007, France		30-MAY-2024	ZH548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt	Egypt		Homo sapiens	serum	1977			Rift Valley fever virus strain ZH548 segment L, complete sequence	1977	Egypt	ZH548	rvf	OR805805.1	26.8206	30.8025	l
DQ375410.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZS-6365	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Gharbiya	Egypt			ovine	1979			Rift Valley fever virus strain ZS-6365 segment L, complete sequence	1979	Egypt	ZS-6365	rvf	DQ375410.1	26.8206	30.8025	l
MG659857.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA472/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA472/10 segment L, complete sequence	2010	South Africa	SA472/10	rvf	MG659857.1	-30.5595	22.9375	l
EU574015.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001809	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Garissa disrict	Kenya		caprine		01-Dec-2006			Rift Valley fever virus strain 2007001809 segment L, complete sequence	2006-12-01	Kenya	2007001809	rvf	EU574015.1	0.0236	37.9062	l
DQ375416.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	73HB1449	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Central African Republic	Central African Republic			human sera	1974			Rift Valley fever virus strain 73HB1449 segment L, complete sequence	1974	Central African Republic	73HB1449	rvf	DQ375416.1	6.6111	20.9394	l
MG659876.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1167/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1167/10 segment L, complete sequence	2010	South Africa	SA1167/10	rvf	MG659876.1	-30.5595	22.9375	l
ON211622.1	Rift Valley fever virus	GenBank			Ikegami,T.	Pathology, The University of Texas Medical Branch at Galveston, 301 University Blvd., Galveston, TX 77555-0436, USA		25-SEP-2022	RVax-1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		USA	USA		Vero cells		09-Feb-2020			Rift Valley fever virus strain RVax-1 segment L, complete sequence	2020-02-09	USA	RVax-1	rvf	ON211622.1	39.8283	-98.5795	l
MG659829.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA95/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA95/10 segment L, complete sequence	2010	South Africa	SA95/10	rvf	MG659829.1	-30.5595	22.9375	l
MG649052.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-8d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6402	complete		L		China: Beijing	China		Homo sapiens	serum	23-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-8d/2016 segment L, complete sequence	2016-06-23	China	RVFV-BJ01-Sera-8d/2016	rvf	MG649052.1	35.8617	104.1954	l
KY126671.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA573/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA573/10 segment L, complete sequence	2010	South Africa	SA573/10	rvf	KY126671.1	-30.5595	22.9375	l
MG659863.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA591/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA591/10 segment L, complete sequence	2010	South Africa	SA591/10	rvf	MG659863.1	-30.5595	22.9375	l
EU574020.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001107	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Thika district	Kenya		bovine		25-Jan-2007			Rift Valley fever virus strain 2007001107 segment L, complete sequence	2007-01-25	Kenya	2007001107	rvf	EU574020.1	0.0236	37.9062	l
MG659885.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1405/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1405/10 segment L, complete sequence	2010	South Africa	SA1405/10	rvf	MG659885.1	-30.5595	22.9375	l
MG659827.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU86/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU86/10 segment L, complete sequence	2010	South Africa	SPU86/10	rvf	MG659827.1	-30.5595	22.9375	l
DQ375398.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Mauritania	Mauritania			human sera	1987			Rift Valley fever virus strain OS-1 segment L, complete sequence	1987	Mauritania	OS-1	rvf	DQ375398.1	21.0079	-10.9408	l
DQ375405.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	T-46 (228113)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Sharqiya	Egypt			Aedes taeniorhyncus that fed on gerbil infected with RVFV ZH-501	1977			Rift Valley fever virus strain T-46 (228113) segment L, complete sequence	1977	Egypt	T-46 (228113)	rvf	DQ375405.1	26.8206	30.8025	l
DQ375429.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Entebbe	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Uganda	Uganda			mosquito	1944			Rift Valley fever virus strain Entebbe segment L, complete sequence	1944	Uganda	Entebbe	rvf	DQ375429.1	1.3733	32.2903	l
JF311373.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803167	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Madagascar: Antananarivo	Madagascar		bovine		Feb-1991			Rift Valley fever virus strain 200803167 segment L, complete sequence	1991-02	Madagascar	200803167	rvf	JF311373.1	-18.7669	46.8691	l
MG659822.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU68/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU68/10 segment L, complete sequence	2010	South Africa	SPU68/10	rvf	MG659822.1	-30.5595	22.9375	l
OM744375.1	Rift Valley fever virus	GenBank			Juma,J.A., Limbaso,S.K. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		20-MAR-2022	DVS-230	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6397	complete		L		Kenya: Kiambu	Kenya		Bos taurus		15-Jul-2021			Rift Valley fever virus strain DVS-230 segment L, complete sequence	2021-07-15	Kenya	DVS-230	rvf	OM744375.1	0.0236	37.9062	l
MG659892.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA320/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA320/11 segment L, complete sequence	2011	South Africa	SA320/11	rvf	MG659892.1	-30.5595	22.9375	l
EU574016.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001602	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Mombassa district	Kenya		bovine		30-Jan-2007			Rift Valley fever virus strain 2007001602 segment L, complete sequence	2007-01-30	Kenya	2007001602	rvf	EU574016.1	0.0236	37.9062	l
DQ375404.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	MP-12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Sharqiya	Egypt			derived from RVFV ZH-548	1977			Rift Valley fever virus strain MP-12 segment L, complete sequence	1977	Egypt	MP-12	rvf	DQ375404.1	26.8206	30.8025	l
MG659842.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA225/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA225/10 segment L, complete sequence	2010	South Africa	SA225/10	rvf	MG659842.1	-30.5595	22.9375	l
MG659864.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA632/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA632/10 segment L, complete sequence	2010	South Africa	SA632/10	rvf	MG659864.1	-30.5595	22.9375	l
OP146104.1	Rift Valley fever virus	GenBank			Mlingo,T.A.M., Beeton-Kempen,N., Mokoena,N.B., Lebea,P.J. and Nthangeni,M.B.	Research and Development: Virology, Onderstepoort Biological Products Soc Ltd, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		29-MAR-2023	RSA/OBP/RVFVClone13/LAV	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Central African Republic	Central African Republic				1974	SAMN29826206	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFVClone13/LAV clone 13 segment L, complete sequence	1974	Central African Republic	RSA/OBP/RVFVClone13/LAV	rvf	OP146104.1	6.6111	20.9394	l
DQ375408.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	ZH-501-777	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Sharqiya	Egypt			plaque pick of RVFV ZH-501	1977			Rift Valley fever virus strain ZH-501-777 segment L, complete sequence	1977	Egypt	ZH-501-777	rvf	DQ375408.1	26.8206	30.8025	l
MG659869.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA705/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA705/10 segment L, complete sequence	2010	South Africa	SA705/10	rvf	MG659869.1	-30.5595	22.9375	l
DQ375434.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2269/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Zimbabwe: Sinoia	Zimbabwe			bovine	1974			Rift Valley fever virus strain 2269/74 segment L, complete sequence	1974	Zimbabwe	2269/74	rvf	DQ375434.1	-19.0154	29.1549	l
MG659855.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA420/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA420/10 segment L, complete sequence	2010	South Africa	SA420/10	rvf	MG659855.1	-30.5595	22.9375	l
KY126688.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment L, complete sequence	1981	South Africa	Ar20364	rvf	KY126688.1	-30.5595	22.9375	l
DQ375406.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZH-501	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Sharqiya	Egypt			human sera	1977			Rift Valley fever virus strain ZH-501 segment L, complete sequence	1977	Egypt	ZH-501	rvf	DQ375406.1	26.8206	30.8025	l
MG659854.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA414/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA414/10 segment L, complete sequence	2010	South Africa	SA414/10	rvf	MG659854.1	-30.5595	22.9375	l
KY126672.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA982/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA982/10 segment L, complete sequence	2010	South Africa	SA982/10	rvf	KY126672.1	-30.5595	22.9375	l
EU574007.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007003081	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Mbeere district	Kenya		bovine		27-Feb-2007			Rift Valley fever virus strain 2007003081 segment L, complete sequence	2007-02-27	Kenya	2007003081	rvf	EU574007.1	0.0236	37.9062	l
